"id","country_id/id","code","name"
"base.RO_AB","base.ro","AB","Alba"
"base.RO_AG","base.ro","AG","Argeș"
"base.RO_AR","base.ro","AR","Arad"
"base.RO_B","base.ro","B","București"
"base.RO_BC","base.ro","BC","Bacău"
"base.RO_BH","base.ro","BH","Bihor"
"base.RO_BN","base.ro","BN","Bistrița-Năsăud"
"base.RO_BR","base.ro","BR","Brăila"
"base.RO_BT","base.ro","BT","Botoșani"
"base.RO_BV","base.ro","BV","Brașov"
"base.RO_BZ","base.ro","BZ","Buzău"
"base.RO_CJ","base.ro","CJ","Cluj"
"base.RO_CL","base.ro","CL","Călărași"
"base.RO_CS","base.ro","CS","Caraș Severin"
"base.RO_CT","base.ro","CT","Constanța"
"base.RO_CV","base.ro","CV","Covasna"
"base.RO_DB","base.ro","DB","Dâmbovița"
"base.RO_DJ","base.ro","DJ","Dolj"
"base.RO_GJ","base.ro","GJ","Gorj"
"base.RO_GL","base.ro","GL","Galați"
"base.RO_GR","base.ro","GR","Giurgiu"
"base.RO_HD","base.ro","HD","Hunedoara"
"base.RO_HR","base.ro","HR","Harghita"
"base.RO_IF","base.ro","IF","Ilfov"
"base.RO_IL","base.ro","IL","Ialomița"
"base.RO_IS","base.ro","IS","Iași"
"base.RO_MH","base.ro","MH","Mehedinți"
"base.RO_MM","base.ro","MM","Maramureș"
"base.RO_MS","base.ro","MS","Mureș"
"base.RO_NT","base.ro","NT","Neamț"
"base.RO_OT","base.ro","OT","Olt"
"base.RO_PH","base.ro","PH","Prahova"
"base.RO_SB","base.ro","SB","Sibiu"
"base.RO_SJ","base.ro","SJ","Sălaj"
"base.RO_SM","base.ro","SM","Satu Mare"
"base.RO_SV","base.ro","SV","Suceava"
"base.RO_TL","base.ro","TL","Tulcea"
"base.RO_TM","base.ro","TM","Timiș"
"base.RO_TR","base.ro","TR","Teleorman"
"base.RO_VL","base.ro","VL","Vâlcea"
"base.RO_VN","base.ro","VN","Vrancea"
"base.RO_VS","base.ro","VS","Vaslui"
