"id","country_id/id","code","name"
"l10n_ro.RO_AB","base.ro","AB","Alba"
"l10n_ro.RO_AG","base.ro","AG","Argeș"
"l10n_ro.RO_AR","base.ro","AR","Arad"
"l10n_ro.RO_B","base.ro","B","București"
"l10n_ro.RO_BC","base.ro","BC","Bacău"
"l10n_ro.RO_BH","base.ro","BH","Bihor"
"l10n_ro.RO_BN","base.ro","BN","Bistrița-Năsăud"
"l10n_ro.RO_BR","base.ro","BR","Brăila"
"l10n_ro.RO_BT","base.ro","BT","Botoșani"
"l10n_ro.RO_BV","base.ro","BV","Brașov"
"l10n_ro.RO_BZ","base.ro","BZ","Buzău"
"l10n_ro.RO_CJ","base.ro","CJ","Cluj"
"l10n_ro.RO_CL","base.ro","CL","Călărași"
"l10n_ro.RO_CS","base.ro","CS","Caraș Severin"
"l10n_ro.RO_CT","base.ro","CT","Constanța"
"l10n_ro.RO_CV","base.ro","CV","Covasna"
"l10n_ro.RO_DB","base.ro","DB","Dâmbovița"
"l10n_ro.RO_DJ","base.ro","DJ","Dolj"
"l10n_ro.RO_GJ","base.ro","GJ","Gorj"
"l10n_ro.RO_GL","base.ro","GL","Galați"
"l10n_ro.RO_GR","base.ro","GR","Giurgiu"
"l10n_ro.RO_HD","base.ro","HD","Hunedoara"
"l10n_ro.RO_HR","base.ro","HR","Harghita"
"l10n_ro.RO_IF","base.ro","IF","Ilfov"
"l10n_ro.RO_IL","base.ro","IL","Ialomița"
"l10n_ro.RO_IS","base.ro","IS","Iași"
"l10n_ro.RO_MH","base.ro","MH","Mehedinți"
"l10n_ro.RO_MM","base.ro","MM","Maramureș"
"l10n_ro.RO_MS","base.ro","MS","Mureș"
"l10n_ro.RO_NT","base.ro","NT","Neamț"
"l10n_ro.RO_OT","base.ro","OT","Olt"
"l10n_ro.RO_PH","base.ro","PH","Prahova"
"l10n_ro.RO_SB","base.ro","SB","Sibiu"
"l10n_ro.RO_SJ","base.ro","SJ","Sălaj"
"l10n_ro.RO_SM","base.ro","SM","Satu Mare"
"l10n_ro.RO_SV","base.ro","SV","Suceava"
"l10n_ro.RO_TL","base.ro","TL","Tulcea"
"l10n_ro.RO_TM","base.ro","TM","Timiș"
"l10n_ro.RO_TR","base.ro","TR","Teleorman"
"l10n_ro.RO_VL","base.ro","VL","Vâlcea"
"l10n_ro.RO_VN","base.ro","VN","Vrancea"
"l10n_ro.RO_VS","base.ro","VS","Vaslui"
